"County Population by Age, Race, Hispanic origin, and Gender:  April 1, 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Race,Gender,Hispanic origin,0-4,5-9,10-14,15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 and up,All Ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okaloosa,All Races,Both Sexes,Nonhispanic,"10,131","10,984","11,553","11,418","7,072","4,346","10,994","10,994","11,377","14,367","13,749","11,285","10,353","8,174","7,431","7,148","5,302","4,145","2,239","1,552","163,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okaloosa,All Races,Both Sexes,Hispanic,712,615,670,648,396,252,837,723,582,666,572,399,282,178,148,112,78,43,19,18,"7,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okaloosa,All Races,Both Sexes,Both,"10,843","11,599","12,223","12,066","7,468","4,598","11,831","11,717","11,959","15,033","14,321","11,684","10,635","8,352","7,579","7,260","5,380","4,188","2,258","1,570","170,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Male,Nonhispanic,706,819,904,882,564,318,593,657,751,856,916,848,807,778,828,810,768,583,294,179,"12,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Male,Hispanic,357,334,317,536,303,233,556,465,383,323,251,163,123,80,57,45,37,13,6,2,"4,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Male,Both,"1,063","1,153","1,221","1,418",867,551,"1,149","1,122","1,134","1,179","1,167","1,011",930,858,885,855,805,596,300,181,"17,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Female,Nonhispanic,616,774,825,762,486,276,612,595,686,913,936,824,864,840,879,787,797,604,379,285,"12,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Female,Hispanic,346,275,257,259,155,104,258,233,196,163,133,80,81,47,28,31,16,6,4,2,"2,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Female,Both,962,"1,049","1,082","1,021",641,380,870,828,882,"1,076","1,069",904,945,887,907,818,813,610,383,287,"15,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Both Sexes,Nonhispanic,"1,322","1,593","1,729","1,644","1,050",594,"1,205","1,252","1,437","1,769","1,852","1,672","1,671","1,618","1,707","1,597","1,565","1,187",673,464,"25,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Both Sexes,Hispanic,703,609,574,795,458,337,814,698,579,486,384,243,204,127,85,76,53,19,10,4,"6,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,White,Both Sexes,Both,"2,025","2,202","2,303","2,439","1,508",931,"2,019","1,950","2,016","2,255","2,236","1,915","1,875","1,745","1,792","1,673","1,618","1,206",683,468,"32,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Male,Nonhispanic,92,95,120,261,171,90,184,211,204,189,173,85,80,57,41,26,25,17,10,6,"1,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Male,Hispanic,2,3,2,5,2,3,12,9,9,12,5,5,3,2,0,0,0,1,0,1,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Male,Both,94,98,122,266,173,93,196,220,213,201,178,90,83,59,41,26,25,18,10,7,"1,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Female,Nonhispanic,74,109,108,82,49,33,66,65,52,74,55,63,53,37,34,35,28,16,5,12,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Female,Hispanic,5,6,0,3,0,3,2,2,3,2,0,1,0,2,0,0,1,0,1,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Female,Both,79,115,108,85,49,36,68,67,55,76,55,64,53,39,34,35,29,16,6,12,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Both Sexes,Nonhispanic,166,204,228,343,220,123,250,276,256,263,228,148,133,94,75,61,53,33,15,18,"2,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Both Sexes,Hispanic,7,9,2,8,2,6,14,11,12,14,5,6,3,4,0,0,1,1,1,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Black,Both Sexes,Both,173,213,230,351,222,129,264,287,268,277,233,154,136,98,75,61,54,34,16,19,"2,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Other,Male,Nonhispanic,24,11,15,9,7,2,19,17,12,21,26,10,8,4,9,2,5,4,5,0,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Other,Male,Hispanic,6,5,3,7,4,3,6,15,5,5,7,5,2,1,1,0,2,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Other,Male,Both,30,16,18,16,11,5,25,32,17,26,33,15,10,5,10,2,7,4,5,0,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Other,Female,Nonhispanic,21,18,23,14,9,5,16,16,16,25,14,19,8,9,11,7,2,4,1,0,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Other,Female,Hispanic,6,11,10,2,2,0,6,3,6,5,1,1,0,1,0,0,0,0,0,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
