CountyName,Property Crime Rate
ALACHUA,2710.40
BAY,3905.40
BREVARD,2063.90
BROWARD,2605.50
CHARLOTTE,1364.90
COLLIER,1381.40
DUVAL,3884.90
ESCAMBIA,2865.50
HILLSBOROUGH,1380.40
INDIAN RIVER,1352.10
LEE,1209.30
MANATEE,1684.20
MARION,1898.10
MIAMI-DADE,3041.90
MONROE,1865.80
NASSAU,1259.00
ORANGE,2963.20
PALM BEACH,2205.20
PINELLAS,2344.10
SAINT JOHNS,1033.80
SARASOTA,1741.10
SEMINOLE,1731.30
VOLUSIA,2008.00
